username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Jaojao_xD;2019-05-07 00:00;0;0;"? O caso dos bans nao é NADA comparado com um fucking assedio por parte de membros de uma empresa TAO GRANDE igual a riot,vc dizer q o impacto de ambos é igual so mostra q qm ta falando merda é vc.";;;;"1125596331291152386";https://twitter.com/Jaojao_xD/status/1125596331291152386
terezinhanr;2019-05-06 21:32;0;0;"Passando mal de raiva com o relato da engenheira. Não tem como ela fazer uma carta aberta, obrigar todo mundo daquela empresa a ouvir o podcast...? Um precessinho por assedio e negligência também cairia bem.";;;;"1125559081840852992";https://twitter.com/terezinhanr/status/1125559081840852992
blackpiIIado;2019-05-06 21:27;0;0;"Riot: casos de assédio sexual e estupro nas instalações da empresa Mulheres: empresa machista boicote já Riot: Nova skin da Lux bonitinha e fofinha + edição prestígio + champ genérico lgbt Mulheres: Meu deus empresa linda amo vcs riot obg pelos mimos *-*";;;;"1125557759901040640";https://twitter.com/blackpiIIado/status/1125557759901040640
_vrmachado;2019-05-06 19:14;13;47;"Soliedariedade com os trabalhadores da Riot nesse momento boicotando o ambiente de trabalho. Desde 08/18, alegações de assédio foram a público, e a empresa tem tentado silenciar os empregados. Que sirva de exemplo para outros estúdios. # RiotWalkouthttps://www.vice.com/en_us/article/gy4qv7/league-of-legends-studio-faces-employee-walkout-promises-changes#RiotWalkout …";;;# #RiotWalkout;"1125524305381662721";https://twitter.com/_vrmachado/status/1125524305381662721
ccomplianceapp;2019-05-06 18:00;0;0;"Você sabe reconhecer o # assédio moral? E se acontecer na sua empresa, você sabe como agir? Saiba tudo sobre o tema no nosso blog! # compliancehttps://bit.ly/2DEeDUx";;;# #;"1125505681333813248";https://twitter.com/ccomplianceapp/status/1125505681333813248
GabrielMP_19;2019-05-06 17:51;1;1;"E bem, é, né. É um direito trabalhista básico trabalhar sem sofrer assédio sexual. Mas aí cheio de GAMER na empresa, né vcs conhecem gamer complicado";;;;"1125503293499817984";https://twitter.com/GabrielMP_19/status/1125503293499817984
CapslockAraujo;2019-05-06 17:15;22;83;"A hashtag # riotwalkout mostra funcionários da Riot games que hoje estao abandonando o ambiente de trabalho por um dia em protesto as atitudes da empresa em casos de litígio e assédio sexual . Ótimo!";;;#;"1125494299620270080";https://twitter.com/CapslockAraujo/status/1125494299620270080
giu_manji;2019-05-06 16:04;0;1;"Denuncia porque isso é assédio sexual e tu pode até processar a empresa depois";;;;"1125476551502585856";https://twitter.com/giu_manji/status/1125476551502585856
broJocapa;2019-05-06 14:49;0;0;"# FSRádioBrasil Só "Voz do Brasil" o Pais é perfeitíssimo :tudo funciona,as indenizações são pagas,os processos são resolvidos,a "justiça é feita com todos e para todos.Só para comigo,que estou processando uma empresa por assédio moral,danos morais e materiais,injúria,calúnia";;;#;"1125457671317073921";https://twitter.com/broJocapa/status/1125457671317073921
Saint_Evan23;2019-05-05 13:42;0;0;"Se você consome o produto de uma empresa, e acaba descobrindo que essa empresa faz testes em animais e possuem casos de assédio sexual. Boicotar essa empresa que segue coisas que ferem os seus princípios, seria viver numa bolha?";;;;"1125078236617162752";https://twitter.com/Saint_Evan23/status/1125078236617162752
karibeiro0;2019-05-03 21:52;1;2;"Determinada empresa de ônibus com adesivo colado no ônibus: "Assédio é Crime, denuncie" Determinada funcionária dessa determinada empresa de ônibus sofre assédio dentro da empresa, empresa: "homem é assim mesmo rsrs"";;;;"1124476870584602625";https://twitter.com/karibeiro0/status/1124476870584602625
rodrigo_ayres17;2019-05-03 20:22;0;0;"Assedio moral, tbm é considerado físico e psicólogo. Assedio sexual, homem tbm sofre e não só a mulher e quando o homem sofre, muitos acham graça, já no caso da mulher é muito sério. Transexual em empresa sofre muito e é muito ignorado isso hj em dia.";;;;"1124454290112811008";https://twitter.com/rodrigo_ayres17/status/1124454290112811008
rodrigo_ayres17;2019-05-03 20:20;0;0;"Assunto de hj na sala: assedio moral (meu grupo), assedio sexual (grupo 2) e transexual na empresa (grupo 3)";;;;"1124453816030642177";https://twitter.com/rodrigo_ayres17/status/1124453816030642177
ccomplianceapp;2019-05-02 08:00;0;1;"Cada vez mais funcionários têm levado casos de assédio sexual à Justiça, o que gera prejuízos para as empresas, não somente no âmbito financeiro mas na imagem perante a sociedade. Veja o caso de uma empresa que teve que pagar o preço. https://bit.ly/2GIpRJj";;;;"1123905043885887493";https://twitter.com/ccomplianceapp/status/1123905043885887493
YuriCosta_91;2019-05-01 08:43;0;1;"1° de maio é dia do trabalhador e lanço aqui uma proposta a todos trabalhadores ,vamos chamar de empresa sem assédio. Te aconselho trabalhador ( principalmente mulheres) a gravarem os assédio que sofrem diariamente no seu local de trabalho # DiaDoTrabalhador";;;#;"1123553474824876034";https://twitter.com/YuriCosta_91/status/1123553474824876034
grandejokk;2019-05-01 02:59;1;14;"Boa riot, acusados de assedio contra as mulheres dentro da empresa, vao la e lançam skin nova pra lux, dao ban por pessoas darem spoiler, e adivinha so? tenho certeza que esse RETARDADO do print n vai perder a continha dele, mas sim quem deu rage nesse bosta q se matou 32 empreS pic.twitter.com/2fdEgYmrot";;;;"1123466992198017024";https://twitter.com/grandejokk/status/1123466992198017024
marykeilaolsen;2019-04-30 17:23;0;0;"Trabalhei em um lugar que fazia eventos, o lugar era enorme e todos trabalhávamos com rádio pra poder nos comunicar. O dono da empresa um dia, ficou pistola comigo e me demitiu pela porra do rádio. (Só me dei conta que era assédio moral depois, mas nem fui atrás de nada)";;;;"1123321940607942656";https://twitter.com/marykeilaolsen/status/1123321940607942656
carlinha_motta;2019-04-30 09:26;0;0;"Trabalhando na empresa do assédio moral";;;;"1123202011191742464";https://twitter.com/carlinha_motta/status/1123202011191742464
joseaugust021;2019-04-30 07:50;0;0;"Tu sabe que isso configura assédio moral, paga tanto a empresa que não fez nada pra combater esse tipo de comportamento. O mínimo que deveria ser feito era uma reunião de advertência. Se fosse comigo ou com a minha equipe o negócio seria bem diferente...";;;;"1123177790919139330";https://twitter.com/joseaugust021/status/1123177790919139330
willjunioo;2019-04-29 20:15;0;0;"Horrorizado com as denúncias de assédio nos bastidores da Livraria Cultura. Já ñ compro mais nenhum livro lá. Os funcionários devem der respeitados e a empresa tem que seguir as leis trabalhistas .";;;;"1123003021158486016";https://twitter.com/willjunioo/status/1123003021158486016
ccomplianceapp;2019-04-29 15:48;0;0;"O que é o # assédio, como identificar, e o que fazer se acontecer na sua empresa? Tire essas dúvidas no nosso novo blogpost e saiba como lidar com esse problema cada vez mais aparente no mundo corporativo. # compliance https://lnkd.in/gDVWE4h pic.twitter.com/I1wn6xCQrb";;;# #;"1122935612129071104";https://twitter.com/ccomplianceapp/status/1122935612129071104
analuvalois;2019-04-28 18:44;0;0;"Ah tá. É. Não acho assédio. A idéia não seria já chegar xavecando no whats, né? Tem q desenrolar até chegar no nível xaveco. A idéia era só sair da ferramenta da empresa pq a empresa tem acesso a tudo";;;;"1122617719877193730";https://twitter.com/analuvalois/status/1122617719877193730
CarolinaBR;2019-04-27 01:46;0;0;"https://vejasp.abril.com.br/cidades/livraria-cultura-funcionarios-assedio-moral/ … chocada com o número de processos que eles têm por assédio moral. Na boa, ultimamente, a gente só tel decepção. Que lixo de empresa :(";;;;"1121999080534761472";https://twitter.com/CarolinaBR/status/1121999080534761472
Ale_FSantana;2019-04-25 20:12;0;5;"Trabalhar com um cara de masculinidade frágil e uma das piores coisas que já passei tirando o assédio moral em outro empresa . Engolindo sapo e toda a fauna e flora pra manter meu emprego .";;;;"1121552652616310785";https://twitter.com/Ale_FSantana/status/1121552652616310785
tiagoroseta;2019-04-24 22:11;0;1;"Já ouvi falar de empresas que faziam assédio daquele jeito e ambiente tóxico, pra não dizer selvagem. Mas velho... Ser dono de empresa com essas atitudes, merecem falir mesmo.";;;;"1121220091402702849";https://twitter.com/tiagoroseta/status/1121220091402702849
